Ref,Val,Package,PosX,PosY,Rot,Side
"U18","TPS2553DBVR","DBV6",211.579200,-135.750000,90.000000,bottom
"U19","TPS2553DBVR","DBV6",211.528000,-124.391800,90.000000,bottom
"U20","TPS2553DBVR","DBV6",211.528000,-113.891800,90.000000,bottom
"BZ1","PKMCS0909E48H0-R1","PKMCS0909E4000-R1_MUR",230.750000,-115.300000,-90.000000,top
"C1","22p","C_0402_1005Metric",253.509998,-146.000000,0.000000,top
"C2","100p","C_0402_1005Metric",254.259998,-144.000000,0.000000,top
"C3","47n","C_0402_1005Metric",254.759998,-143.000000,0.000000,top
"C4","10u","C_1210_3225Metric",258.400000,-144.900000,-90.000000,top
"C5",".22u","C_0402_1005Metric",258.009998,-138.044999,90.000000,top
"C6","22u","C_1206_3216Metric",250.000000,-126.900000,90.000000,top
"C7","22u","C_1206_3216Metric",252.400000,-126.900000,90.000000,top
"C8","100n","C_0402_1005Metric",247.250000,-126.405000,-90.000000,top
"C9","47n","C_0402_1005Metric",245.120000,-125.900000,180.000000,top
"C10","100n","C_0402_1005Metric",248.250000,-128.905000,90.000000,top
"C11","56p","C_0402_1005Metric",244.250000,-133.905000,0.000000,top
"C12","22u","C_1206_3216Metric",228.000000,-133.500000,180.000000,top
"C13","22u","C_1206_3216Metric",227.975000,-131.000000,180.000000,top
"C14","100n","C_0402_1005Metric",229.670000,-140.750000,0.000000,top
"C15","2.2u","C_0402_1005Metric",231.100000,-141.000000,-90.000000,top
"C16","10n","C_0805_2012Metric",235.000000,-139.550000,180.000000,top
"C17","1u","C_0603_1608Metric",232.225000,-147.750000,0.000000,top
"C18","22u","C_1206_3216Metric",232.975000,-143.250000,0.000000,top
"C19","22u","C_1206_3216Metric",232.975000,-145.750000,0.000000,top
"C20","100n","C_0402_1005Metric",229.000000,-102.410000,90.000000,top
"C21","4.7u","C_0805_2012Metric",221.250000,-99.575000,90.000000,top
"C22","30p","C_0402_1005Metric",238.250000,-104.275000,180.000000,top
"C23","30p","C_0402_1005Metric",236.250000,-104.275000,180.000000,top
