Designator,Mid X,Mid Y,Rotation,Layer
R129,243.000000,-127.405000,90.000000,Top
R130,243.500000,-125.155000,90.000000,Top
R133,214.450000,-40.100000,180.000000,Top
R144,247.790000,-124.950000,0.000000,Top
SW2,262.550000,-71.800000,90.000000,Top
U1,247.700000,-66.700000,180.000000,Top
U2,243.300000,-64.850000,0.000000,Top
U3,229.975000,-137.362500,90.000000,Top
U4,219.730000,-119.800000,90.000000,Top
U5,245.745300,-129.680000,270.000000,Top
U6,235.250000,-89.525000,90.000000,Top
U7,250.437500,-58.000000,0.000000,Top
U9,247.475001,-74.800000,0.000000,Top
U11,253.284998,-138.840000,90.000000,Top
U12,218.368000,-69.740000,0.000000,Top
U14,218.718000,-61.050000,0.000000,Top
U23,219.650000,-31.250000,0.000000,Top
U27,218.925000,-85.950000,180.000000,Top
Y1,236.172500,-107.002500,0.000000,Top
Y2,230.490400,-105.952500,0.000000,Top
